id,question,option_1,option_2,option_3,option_4
practice_1,What type of map is shown in the image?,Satellite map,Street map,Topographic map,Political boundary map
practice_2,Which large water body is visible on the right side of the map?,Powai Lake,Arabian Sea,Mithi River,Vihar Lake Dam only
practice_3,What color is used for most water bodies?,Blue,Red,Yellow,Brown
practice_4,Which major institution label is visible on the right side?,Indian Institute of Technology Bombay,University of Mumbai,Tata Institute of Social Sciences,National Law School
practice_5,Which transport feature crosses near the middle of the map?,Railway or metro line,Airport runway,Sea bridge,Ferry route
practice_6,Which road name appears near the center-left area?,JVLR,Marine Drive,Eastern Freeway,Linking Road
practice_7,Which terrain type best describes the whole map?,Flat urban area with lakes and green zones,Desert region,Snowy mountain region,Open farmland only
practice_8,What is visible near the bottom-left corner?,Airport terminal/airport road area,Large beach,Fort wall,Snow field
practice_9,Which direction does the long central road/rail corridor mostly run?,East to West,North to South,Northeast to Southwest,Circular loop only
practice_10,What map feature is shown with many red cross symbols?,Hospitals or medical facilities,Restaurants,Bus stops,Police stations
practice_11,Which named lake is clearly labeled in the map?,Powai Lake,Dal Lake,Loktak Lake,Chilika Lake
practice_12,Which area label appears near the bottom-center?,Saki Naka,Colaba,Bandra Fort,Juhu Beach
practice_13,What color is most commonly used for park/forest areas?,Green,Blue,Black,Red
practice_14,Which of these is not visually supported by the map?,Coastal beach shoreline,Urban roads,Water bodies,Green areas
practice_15,What appears around the top-left portion of the map?,Green/park area and buildings,A large desert,An ocean coastline,A mountain summit
